Año,Trimestre,Provincia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Total,Mbps (Media de bajada),,
2020,3,Misiones,71,524,39005,24215,25942,13663,30987,8779,143186,24.14,,
2020,3,Neuquén,218,327,60463,6561,5975,5449,49439,803,129235,31.46,,
2020,3,Río Negro,114,466,68986,3769,7096,3455,28488,19093,131467,21.08,,
2020,3,Salta,129,514,32780,64736,15990,7928,43773,14996,180846,25.26,,
2020,3,San Juan,48,194,65526,711,6529,41,128,4150,77327,6.03,,
2020,3,San Luis,105,0,12199,3351,2666,61319,8,36917,116565,20.85,,
2020,3,Santa Cruz,66,0,26888,4015,6730,629,120,833,39281,6.65,,
2020,3,Santa Fe,568,1241,213353,199381,92095,58797,210562,27001,802998,25.69,,
2020,3,Santiago Del Estero,133,909,33287,57418,4658,292,3994,4801,105492,10.88,,
2020,3,Tierra Del Fuego,11,0,22094,5414,3726,481,937,6992,39655,8.51,,
2020,3,Tucumán,52,97,45913,54610,33126,3246,84195,2637,223876,34.84,,
2020,2,Buenos Aires,37542,31606,1129236,241336,233132,188995,1894466,21233,3777546,45.66,,
2020,2,Capital Federal,264,312,166474,94585,79858,80160,935481,687,1357821,60.48,,
2020,2,Catamarca,63,0,8801,8690,10242,426,16578,3176,47976,34.93,,
2020,2,Chaco,308,928,24350,21140,29044,12082,33311,6969,128132,27.95,,
2020,2,Chubut,158,109,69578,22188,10537,1473,614,3999,108656,7.61,,
2020,2,Córdoba,168,4383,219025,125932,89530,63216,325243,8971,836468,30.99,,
2020,2,Corrientes,72,527,34242,22845,25844,7898,22418,5020,118866,22.15,,
2020,2,Entre Ríos,130,3679,66758,50640,42090,12856,43391,14569,234113,20.45,,
2020,2,Formosa,391,151,23534,7109,6998,961,7475,1313,47932,16.87,,
2020,2,Jujuy,55,182,30548,10519,26829,209,9417,16557,94316,15.86,,
2020,2,La Pampa,293,810,71218,7531,3800,1657,3377,1123,89809,8.03,,
2020,2,La Rioja,21,1,37375,5661,4686,73,4336,2,52155,11.67,,
2020,2,Mendoza,58,40,142253,12439,35274,3248,5422,2450,201184,9.27,,
2020,2,Misiones,71,524,39867,23719,26445,12305,28763,8646,140340,22.56,,
2020,2,Neuquén,218,327,61171,6103,6625,5296,46432,0,126172,29.1,,
2020,2,Río Negro,114,466,70817,3335,7498,3246,26953,17057,129486,19.68,,
2020,2,Salta,129,514,41801,64463,16989,7741,39594,6531,177762,22.56,,
2020,2,San Juan,48,194,59113,917,4908,40,127,4430,69777,6.31,,
2020,2,San Luis,105,0,11439,3585,1934,60889,8,35992,113952,21.02,,
2020,2,Santa Cruz,66,0,26938,4166,6541,546,119,493,38869,6.59,,
2020,2,Santa Fe,568,2061,213054,198772,96575,57236,189473,20193,777932,23.93,,
2020,2,Santiago Del Estero,133,1779,32557,57709,5178,247,3328,4516,105447,10.41,,
2020,2,Tierra Del Fuego,11,0,22325,5186,3034,391,796,7446,39189,8.13,,
2020,2,Tucumán,52,97,49028,54537,34184,2246,74377,2635,217156,32.7,,
2020,1,Buenos Aires,38215,36802,1122034,236421,247977,205780,1802583,28935,3718747,45.18,,
2020,1,Capital Federal,264,312,169651,102254,89665,85899,906009,0,1354054,58.71,,
2020,1,Catamarca,63,0,8838,7543,9558,408,10299,2151,38860,29.13,,
2020,1,Chaco,308,928,23291,19976,29851,10416,28539,6917,120226,25.94,,
2020,1,Chubut,158,109,69586,12957,7756,1240,614,4500,96920,7.12,,
2020,1,Córdoba,142,5128,217229,120188,95827,65733,296875,9802,810924,29.39,,
2020,1,Corrientes,72,527,33479,21382,26679,7351,19467,4780,113737,20.54,,
2020,1,Entre Ríos,130,4081,72280,47132,41125,11988,39794,13762,230292,19.03,,
2020,1,Formosa,1127,342,23761,6500,6564,964,6918,100,46276,15.7,,
2020,1,Jujuy,55,182,33120,9979,26693,166,7349,16545,94089,14.14,,
2020,1,La Pampa,293,811,72740,7199,3029,1342,2113,1618,89145,7.29,,
2020,1,La Rioja,21,1,37209,5158,4640,22,1294,0,48345,7.96,,
2020,1,Mendoza,58,40,140410,12285,17489,2860,3818,0,176960,8.44,,
