Año,Trimestre,Provincia,Accesos por cada 100 hogares,Accesos por cada 100 hab,Mbps (Media de bajada),Banda ancha fija,Dial up,Total
2018,1,Buenos Aires,62.63,20,14.2,3464882,10564,3475446
2018,1,Capital Federal,106.24,45,17.75,1359882,6688,1366570
2018,1,Catamarca,32.79,8,8.2,33934,11,33945
2018,1,Chaco,30.83,8,12.44,96925,12,96937
2018,1,Chubut,53.72,16,5.42,95532,2427,97959
2018,1,Córdoba,63.52,19,12.79,713825,101,713926
2018,1,Corrientes,32.66,9,11.12,94406,11,94417
2018,1,Entre Ríos,48.68,15,9.88,197346,48,197394
2018,1,Formosa,21.4,5,11.06,32328,- 0,32328
2018,1,Jujuy,23.12,6,6.74,44405,1,44406
2018,1,La Pampa,71.75,24,4.0,82668,396,83064
2018,1,La Rioja,51.44,14,5.89,52228,17,52245
2018,1,Mendoza,37.07,10,5.88,199463,1484,200947
2018,1,Misiones,30.96,8,12.08,103580,- 0,103580
2018,1,Neuquén,61.52,18,11.96,115897,2006,117903
2018,1,Río Negro,49.82,15,8.98,110057,1062,111119
2018,1,Salta,39.78,10,9.19,133182,1,133183
2018,1,San Juan,32.61,8,5.85,62610,658,63268
2018,1,San Luis,15.15,4,5.89,21096,300,21396
2018,1,Santa Cruz,33.55,10,5.19,33970,435,34405
