Año,Trimestre,Provincia,Tipo Conexion,Accesos
2015,4,Buenos Aires,ADSL,1586343
2015,4,Capital Federal,ADSL,455427
2015,4,Catamarca,ADSL,26180
2015,4,Chaco,ADSL,56818
2015,4,Chubut,ADSL,43968
2015,4,Córdoba,ADSL,353530
2015,4,Corrientes,ADSL,55681
2015,4,Entre Ríos,ADSL,113983
2015,4,Formosa,ADSL,21734
2015,4,Jujuy,ADSL,32934
2015,4,La Pampa,ADSL,12755
2015,4,La Rioja,ADSL,16886
2015,4,Mendoza,ADSL,153293
2015,4,Misiones,ADSL,60252
2015,4,Neuquén,ADSL,51680
2015,4,Río Negro,ADSL,66851
2015,4,Salta,ADSL,78744
2015,4,San Juan,ADSL,48670
2015,4,San Luis,ADSL,11432
2015,4,Santa Cruz,ADSL,15614
2015,4,Santa Fe,ADSL,339843
2015,4,Santiago Del Estero,ADSL,33582
2015,4,Tierra Del Fuego,ADSL,22636
2015,4,Tucumán,ADSL,144188
2015,3,Buenos Aires,ADSL,1585467
2015,3,Capital Federal,ADSL,454815
2015,3,Catamarca,ADSL,25801
2015,3,Chaco,ADSL,56282
2015,3,Chubut,ADSL,43964
2015,3,Córdoba,ADSL,351692
2015,3,Corrientes,ADSL,55792
2015,3,Entre Ríos,ADSL,113909
2015,3,Formosa,ADSL,21573
2015,3,Jujuy,ADSL,32598
2015,3,La Pampa,ADSL,12755
2015,3,La Rioja,ADSL,16725
2015,3,Mendoza,ADSL,153299
2015,3,Misiones,ADSL,59921
2015,3,Neuquén,ADSL,47102
2015,3,Río Negro,ADSL,66806
2015,3,Salta,ADSL,78064
2015,3,San Juan,ADSL,48670
2015,3,San Luis,ADSL,11432
2015,3,Santa Cruz,ADSL,15540
2015,3,Santa Fe,ADSL,337042
2015,3,Santiago Del Estero,ADSL,33886
2015,3,Tierra Del Fuego,ADSL,22636
2015,3,Tucumán,ADSL,142925
2015,2,Buenos Aires,ADSL,1581770
2015,2,Capital Federal,ADSL,453178
2015,2,Catamarca,ADSL,25387
2015,2,Chaco,ADSL,55767
2015,2,Chubut,ADSL,43949
2015,2,Córdoba,ADSL,348130
2015,2,Corrientes,ADSL,55238
2015,2,Entre Ríos,ADSL,113378
2015,2,Formosa,ADSL,21097
2015,2,Jujuy,ADSL,32183
2015,2,La Pampa,ADSL,12756
2015,2,La Rioja,ADSL,16463
2015,2,Mendoza,ADSL,153301
2015,2,Misiones,ADSL,59179
2015,2,Neuquén,ADSL,47078
